Sheet,Section,Title,Content
Overview,1,Project summary,"BMU verification package for a delivered RTL snapshot; verification scope is bug discovery, evidence capture, and rule-based validation."
Overview,1.1,DUT,Bit Manipulation Unit (BMU) implementing Zbb/Zbs/Zbp/Zba and CSR bypass logic.
Overview,1.2,Methodology,"UVM-based directed + random verification using reference model, scoreboard, assertions, and coverage closure."
Overview,1.3,Entry criteria,RTL spec baseline is frozen; repo uses the delivered DUT without modifying original RTL.
Features,2,Operation coverage,"Logic ops, shifts, bit-ops, count ops, sign-extension, min/max, pack, GREV, CSR bypass, guards, resets."
Features,2.1,Legal random,Legal random sweep over valid op subsets with reference model check.
Features,2.2,Illegal random,Invalid combinations and guard conditions verified with error assertions.
Env Architecture,3,Components,"tb/env, tb/tests, reference model, UVM scoreboard, assertions, coverage model."
Risk Areas,4,Known issues,The original delivered DUT has open runtime-confirmed mismatches.
Coverage Plan,5,Coverage objective,Cover all legal operations and guard/error scenarios required by the gap plan.
Schedule,6,Status,Baseline verification complete; open issues remain open; fix variant isolated separately.
